airbnb_id,night_priceـnative,night_price,weekly_price,monthly_price,cleaning_fee_native,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33469213.0,352.0,158.0,0.0,0.0,274.0,3.0,4.0,80.0,291.0,3832.0,274235.0,Orlando,8.0,34744.0,House,Entire home/apt,23.0,6.0,28.3415,-81.3221,5.0
33452498.0,95.0,92.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,31.0,268878.0,Orlando,1.0,32803.0,Guest suite,Entire home/apt,17.0,1.0,28.5866,-81.3659,5.0
33452533.0,135.0,93.0,0.0,0.0,20.0,1.0,1.0,90.0,328.0,2542.0,268878.0,Orlando,2.0,32803.0,Loft,Entire home/apt,883.0,1.0,28.5652,-81.3701,5.0
33451991.0,70.0,86.0,0.0,0.0,150.0,2.0,2.0,57.0,207.0,1484.0,268866.0,Orlando,4.0,32811.0,Condominium,Entire home/apt,506.0,2.0,28.4891,-81.4405,5.0
33453015.0,130.0,152.0,0.0,0.0,100.0,1.0,2.0,61.0,222.0,2812.0,268881.0,Orlando,4.0,32803.0,Townhouse,Entire home/apt,71.0,2.0,28.5617,-81.3364,5.0
33453351.0,199.0,168.0,0.0,0.0,115.0,2.5,3.0,53.0,145.0,2707.0,268866.0,Orlando,6.0,32839.0,Townhouse,Entire home/apt,47.0,3.0,28.4941,-81.4385,5.0
33454021.0,110.0,98.0,0.0,0.0,90.0,1.0,3.0,88.0,321.0,2622.0,268943.0,Orlando,6.0,32812.0,House,Entire home/apt,172.0,3.0,28.4593,-81.3318,5.0
33465208.0,165.0,394.0,0.0,0.0,125.0,2.0,3.0,46.0,168.0,5516.0,269108.0,Orlando,6.0,32789.0,House,Entire home/apt,75.0,3.0,28.5968,-81.3553,5.0
33453606.0,195.0,295.0,0.0,0.0,150.0,3.0,5.0,93.0,198.0,8344.0,268866.0,Orlando,16.0,32811.0,House,Entire home/apt,123.0,8.0,28.4809,-81.4558,5.0
33452884.0,103.0,107.0,0.0,0.0,175.0,2.0,2.0,76.0,208.0,2473.0,268878.0,Orlando,4.0,32803.0,House,Entire home/apt,83.0,2.0,28.5515,-81.3665,5.0
33454008.0,75.0,78.0,0.0,0.0,60.0,1.0,1.0,75.0,206.0,1785.0,268943.0,Orlando,2.0,32812.0,Guest suite,Entire home/apt,139.0,1.0,28.4578,-81.3331,5.0
33453047.0,150.0,157.0,0.0,0.0,50.0,1.0,2.0,58.0,212.0,2774.0,268881.0,Orlando,4.0,32789.0,Townhouse,Entire home/apt,72.0,2.0,28.5919,-81.3543,5.0
33451984.0,120.0,68.0,0.0,0.0,54.0,1.0,1.0,90.0,329.0,1864.0,268878.0,Orlando,2.0,32801.0,Guesthouse,Entire home/apt,374.0,1.0,28.5441,-81.366,5.0
33457153.0,69.0,74.0,0.0,0.0,79.0,1.0,0.0,40.0,147.0,907.0,268998.0,Orlando,4.0,32804.0,Other,Entire home/apt,154.0,2.0,28.5724,-81.3987,5.0
33457346.0,125.0,110.0,0.0,0.0,75.0,1.0,1.0,61.0,224.0,2053.0,268998.0,Orlando,2.0,32804.0,Cottage,Entire home/apt,84.0,2.0,28.5574,-81.3899,5.0
33453905.0,115.0,107.0,0.0,0.0,100.0,2.0,2.0,54.0,198.0,1766.0,268906.0,Orlando,4.0,32807.0,Townhouse,Entire home/apt,40.0,3.0,28.5291,-81.3078,5.0
33453377.0,180.0,125.0,0.0,0.0,50.0,2.0,2.0,72.0,261.0,2719.0,268878.0,Orlando,4.0,32801.0,House,Entire home/apt,264.0,2.0,28.5442,-81.3679,5.0
33458505.0,100.0,92.0,0.0,0.0,60.0,2.0,2.0,25.0,39.0,718.0,268987.0,Orlando,4.0,32819.0,Condominium,Entire home/apt,182.0,3.0,28.4568,-81.4685,5.0
33469198.0,180.0,266.0,0.0,0.0,195.0,3.0,5.0,86.0,315.0,6983.0,274235.0,Orlando,10.0,34744.0,House,Entire home/apt,91.0,6.0,28.3418,-81.3217,5.0
33453665.0,49.0,99.0,0.0,0.0,300.0,1.0,2.0,53.0,194.0,1601.0,268890.0,Orlando,5.0,32806.0,House,Entire home/apt,95.0,4.0,28.5094,-81.3491,5.0
33452552.0,45.0,63.0,0.0,0.0,150.0,1.0,1.0,9.0,34.0,179.0,268890.0,Orlando,2.0,32806.0,Tiny house,Entire home/apt,287.0,1.0,28.51,-81.3477,5.0
33452138.0,72.0,76.0,0.0,0.0,125.0,1.0,1.0,16.0,59.0,374.0,268878.0,Orlando,4.0,32803.0,House,Entire home/apt,46.0,1.0,28.565,-81.3664,5.0
33454554.0,97.0,120.0,0.0,0.0,40.0,1.0,3.0,95.0,345.0,3450.0,268890.0,Orlando,6.0,32806.0,House,Entire home/apt,615.0,5.0,28.5194,-81.3747,5.0
33454065.0,95.0,90.0,0.0,0.0,85.0,1.0,2.0,44.0,161.0,1208.0,268943.0,Orlando,4.0,32812.0,House,Entire home/apt,102.0,2.0,28.4583,-81.3372,5.0
33463978.0,92.0,122.0,0.0,0.0,90.0,2.0,2.0,98.0,359.0,3650.0,269124.0,Orlando,4.0,32789.0,Apartment,Entire home/apt,206.0,2.0,28.6015,-81.3565,5.0
33454034.0,60.0,63.0,0.0,0.0,50.0,1.0,0.0,52.0,191.0,1003.0,268943.0,Orlando,2.0,32812.0,Guest suite,Entire home/apt,137.0,1.0,28.4583,-81.3372,5.0
33456771.0,149.0,182.0,0.0,0.0,,1.0,1.0,64.0,234.0,3549.0,268890.0,Orlando,2.0,32801.0,Condominium,Entire home/apt,233.0,1.0,28.5408,-81.3805,5.0
33452963.0,109.0,109.0,0.0,0.0,30.0,1.0,1.0,96.0,351.0,3188.0,268878.0,Orlando,2.0,32803.0,Apartment,Entire home/apt,52.0,1.0,28.5476,-81.3716,5.0
33457364.0,75.0,78.0,0.0,0.0,65.0,1.0,1.0,59.0,217.0,1411.0,268987.0,Orlando,4.0,32819.0,Apartment,Entire home/apt,394.0,2.0,28.457,-81.4678,5.0
33457772.0,50.0,42.0,0.0,0.0,50.0,1.0,0.0,100.0,275.0,1283.0,269027.0,Orlando,2.0,32835.0,Guest suite,Entire home/apt,25.0,1.0,28.5438,-81.4753,5.0
33464385.0,80.0,120.0,0.0,0.0,100.0,2.0,3.0,82.0,301.0,3010.0,269170.0,Orlando,7.0,32818.0,House,Entire home/apt,125.0,5.0,28.5974,-81.4734,5.0
33452461.0,59.0,59.0,0.0,0.0,40.0,1.0,1.0,50.0,181.0,890.0,268890.0,Orlando,4.0,32812.0,Guest suite,Entire home/apt,261.0,2.0,28.5272,-81.3307,5.0
33454409.0,90.0,80.0,0.0,0.0,80.0,1.0,1.0,100.0,365.0,2433.0,268940.0,Orlando,4.0,32822.0,Apartment,Entire home/apt,112.0,1.0,28.5036,-81.3014,5.0
33453425.0,69.0,78.0,0.0,0.0,80.0,1.0,1.0,57.0,207.0,1346.0,268914.0,Orlando,4.0,32839.0,Condominium,Entire home/apt,208.0,3.0,28.4887,-81.4058,5.0
33452780.0,110.0,120.0,0.0,0.0,16.0,2.0,2.0,57.0,208.0,2080.0,268866.0,Orlando,3.0,32811.0,House,Entire home/apt,98.0,2.0,28.5127,-81.4267,5.0
33456938.0,73.0,76.0,0.0,0.0,98.0,2.0,2.0,64.0,234.0,1482.0,268988.0,Orlando,5.0,32839.0,Apartment,Entire home/apt,142.0,3.0,28.48,-81.4197,5.0
33464164.0,140.0,132.0,0.0,0.0,75.0,1.0,1.0,52.0,191.0,2101.0,269124.0,Orlando,2.0,32789.0,Apartment,Entire home/apt,103.0,1.0,28.601,-81.3498,5.0
33459472.0,248.0,200.0,0.0,0.0,200.0,2.0,3.0,41.0,126.0,2520.0,269028.0,Orlando,6.0,32835.0,House,Entire home/apt,19.0,3.0,28.5098,-81.4879,5.0
33452245.0,75.0,80.0,0.0,0.0,25.0,1.0,1.0,49.0,180.0,1200.0,268878.0,Orlando,4.0,32803.0,Guest suite,Entire home/apt,383.0,3.0,28.5663,-81.3596,5.0
33464641.0,175.0,193.0,0.0,0.0,80.0,1.0,1.0,22.0,82.0,1319.0,269108.0,Orlando,2.0,32789.0,Apartment,Entire home/apt,169.0,1.0,28.5958,-81.3557,5.0
