id,airbnb_city,lat,lon,star_rating
33453937.0,Orlando,28.5049,-81.2989,5.0
33454729.0,Orlando,28.5216,-81.4037,5.0
33453571.0,Orlando,28.5916,-81.3521,5.0
33460647.0,Orlando,28.5683,-81.3854,5.0
33456754.0,Orlando,28.4561,-81.47,5.0
33453016.0,Orlando,28.4947,-81.311,5.0
33452826.0,Orlando,28.5378,-81.4726,5.0
33451519.0,Orlando,28.5827,-81.4067,5.0
33468092.0,Orlando,28.4871,-81.4749,5.0
33454027.0,Orlando,28.5472,-81.3576,5.0
33459977.0,Orlando,28.5846,-81.3748,5.0
33452442.0,Orlando,28.5175,-81.353,5.0
33465850.0,Orlando,28.4946,-81.2411,5.0
33457386.0,Orlando,28.5307,-81.2868,5.0
33452890.0,Orlando,28.5379,-81.4726,5.0
33456192.0,Orlando,28.4154,-81.2365,5.0
33459057.0,Orlando,28.5974,-81.4002,5.0
33458971.0,Orlando,28.574,-81.3864,5.0
33453506.0,Orlando,28.5912,-81.3511,5.0
33451933.0,Orlando,28.572,-81.3427,5.0
33460235.0,Orlando,28.4566,-81.4681,5.0
33453158.0,Orlando,28.5002,-81.4424,5.0
33453697.0,Orlando,28.5163,-81.3563,5.0
33457201.0,Orlando,28.456,-81.4671,5.0
33458807.0,Orlando,28.4717,-81.4927,5.0
33452971.0,Orlando,28.5381,-81.3544,5.0
33453342.0,Orlando,28.5062,-81.302,5.0
33455196.0,Orlando,28.5521,-81.3728,5.0
33452105.0,Orlando,28.559,-81.3609,5.0
33453278.0,Orlando,28.5075,-81.3012,5.0
33469213.0,Orlando,28.3415,-81.3221,5.0
33452498.0,Orlando,28.5866,-81.3659,5.0
33452533.0,Orlando,28.5652,-81.3701,5.0
33451991.0,Orlando,28.4891,-81.4405,5.0
33453015.0,Orlando,28.5617,-81.3364,5.0
33453351.0,Orlando,28.4941,-81.4385,5.0
33454021.0,Orlando,28.4593,-81.3318,5.0
33465208.0,Orlando,28.5968,-81.3553,5.0
33453606.0,Orlando,28.4809,-81.4558,5.0
33452884.0,Orlando,28.5515,-81.3665,5.0
33454008.0,Orlando,28.4578,-81.3331,5.0
33453047.0,Orlando,28.5919,-81.3543,5.0
33451984.0,Orlando,28.5441,-81.366,5.0
33457153.0,Orlando,28.5724,-81.3987,5.0
33457346.0,Orlando,28.5574,-81.3899,5.0
33453905.0,Orlando,28.5291,-81.3078,5.0
33453377.0,Orlando,28.5442,-81.3679,5.0
33458505.0,Orlando,28.4568,-81.4685,5.0
33469198.0,Orlando,28.3418,-81.3217,5.0
33453665.0,Orlando,28.5094,-81.3491,5.0
33452552.0,Orlando,28.51,-81.3477,5.0
33452138.0,Orlando,28.565,-81.3664,5.0
33454554.0,Orlando,28.5194,-81.3747,5.0
33454065.0,Orlando,28.4583,-81.3372,5.0
33463978.0,Orlando,28.6015,-81.3565,5.0
33454034.0,Orlando,28.4583,-81.3372,5.0
33456771.0,Orlando,28.5408,-81.3805,5.0
33452963.0,Orlando,28.5476,-81.3716,5.0
33457364.0,Orlando,28.457,-81.4678,5.0
33457772.0,Orlando,28.5438,-81.4753,5.0
33464385.0,Orlando,28.5974,-81.4734,5.0
33452461.0,Orlando,28.5272,-81.3307,5.0
33454409.0,Orlando,28.5036,-81.3014,5.0
33453425.0,Orlando,28.4887,-81.4058,5.0
33452780.0,Orlando,28.5127,-81.4267,5.0
33456938.0,Orlando,28.48,-81.4197,5.0
33464164.0,Orlando,28.601,-81.3498,5.0
33459472.0,Orlando,28.5098,-81.4879,5.0
33452245.0,Orlando,28.5663,-81.3596,5.0
33464641.0,Orlando,28.5958,-81.3557,5.0
33454167.0,Orlando,28.5384,-81.3863,5.0
33451748.0,Orlando,28.4891,-81.4414,5.0
33452555.0,Orlando,28.5445,-81.3702,5.0
